Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Pranela Rameshwar,Pranela Rameshwar,,4,8,2,0.583333,0.642857,0,0,0,0,0.00186,0,1,6,0.026809
Indra Smith,Indra Smith,,4,8,2,0.583333,0.642857,0,0,0,0,0.00186,0,1,6,0.026809
Norman Ende,Norman Ende,,14,24,1,1,1,85,0,0,0,0.007528,0,0.065934,6,0.049139
Hani E Batarseh,Hani E Batarseh,,4,8,2,0.583333,0.642857,0,0,0,0,0.00186,0,1,6,0.026809
Nicholas M Ponzio,Nicholas M Ponzio,,4,8,2,0.583333,0.642857,0,0,0,0,0.00186,0,1,6,0.026809
Jong Yoon,Jong Yoon,,2,2,3,0.448276,0.512821,0,0,0,31,0.001235,1,1,1,0.008661
Vijay Raghavan,Vijay Raghavan,,6,6,3,0.52,0.666667,42,0,0,31,0.003786,1,0.066667,1,0.014763
Larry Kerschberg,Larry Kerschberg,,4,9,2,0.590909,0.653846,42,0,0,31,0.002269,1,0.333333,2,0.015824
Benjamin E. Wolfe,Benjamin E. Wolfe,,4,4,2,0.558824,0.605263,3.75,0,0,1,0.001932,2,0.833333,5,0.029295
Jeri L. Parrent,Jeri L. Parrent,,4,4,2,0.558824,0.605263,3.75,0,0,1,0.001932,2,0.833333,5,0.029295
Alexander M. Koch,Alexander M. Koch,,4,4,3,0.395833,0.482456,1.5,0,0,1,0.001921,2,0.5,3,0.021285
Benjamin A. Sikes,Benjamin A. Sikes,,18,24,2,0.95,0.973684,162.5,0,0,1,0.010281,2,0.019608,3,0.064423
Monique Gardes,Monique Gardes,,4,4,2,0.558824,0.605263,3.75,0,0,1,0.001932,2,0.833333,5,0.029295
John F. Harms,John F. Harms,,8,13,1,1,1,28,0,0,2,0.006104,3,0,0,0.016554
Danny R. Welch,Danny R. Welch,,1,6,2,0.533333,0.5625,0,0,0,2,0.000865,3,0,0,0.005126
Aristides Dikos,Aristides Dikos,,3,3,4,0.413043,0.464912,0,0,0,3,0.001643,4,1,3,0.058005
Peter C. Nelson,Peter C. Nelson,,40,59,3,0.662791,0.815789,1451.5,0,0,3,0.023707,4,0.008974,7,0.251317
Thomas M. Tirpak,Thomas M. Tirpak,,8,16,4,0.428571,0.508772,115.5,0,0,3,0.004299,4,0.214286,6,0.081788
Weihsin Wang,Weihsin Wang,,3,3,4,0.413043,0.464912,0,0,0,3,0.001643,4,1,3,0.058005
Kenichi Kimura,Kenichi Kimura,,12,12,5,0.342466,0.4515,388.730882,0,0,4,0.003932,5,0.333333,22,0.26348
David A Low,David A Low,,9,11,5,0.333333,0.428167,230.379709,0,0,4,0.002987,5,0.388889,14,0.209801
David M Keller,David M Keller,,6,10,6,0.266667,0.342,2.347076,0,0,4,0.001971,5,0.666667,10,0.117109
Scott L Davis,Scott L Davis,,12,16,6,0.271003,0.372,490.130409,0,0,4,0.004522,5,0.151515,10,0.146931
Craig G Crandall,Craig G Crandall,,5,5,6,0.266667,0.338667,5.182668,0,0,4,0.00168,5,0.7,7,0.100599
