"name","Degree","Weighted.Degree","modularity_class","pageranks","componentnumber","clustering","triangles","eigencentrality","author_id","URL"
"Ances, Beau",5,0.239131,1344,2.1e-05,0,0.2,2,0.066063,NA,NA
"Abraham Snyder",24,2.958797,1344,0.000162,0,0.018116,5,0.376054,2595529878,"https://profiles.wustl.edu/assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png"
"Brian Gordon",5,0.358514,1344,2.9e-05,0,0,0,0.046228,2098855277,""
"David Clifford",8,0.497142,1344,3.6e-05,0,0.035714,1,0.091261,2124014164,"https://profiles.wustl.edu/files-asset/24526092/clifford_david_050513.jpg"
"Donald Buerk, PhD",1,0.2,1344,2e-05,0,0,0,0.008818,2081018072,""
"Gregory Van Stavern",5,1.257576,1344,7.3e-05,0,0.1,1,0.011667,2131659609,"https://profiles.wustl.edu/assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png"
"Tammie Benzinger",17,1.239534,1344,7e-05,0,0.029412,4,0.268788,2343197100,"https://profiles.wustl.edu/files-asset/24526955/benzinger_tammie_069476.jpg"
"Art History",3,1.012346,1344,4.6e-05,0,0.333333,1,0.063736,NA,NA
"Dimitri Bertsekas",2,0.400862,1344,2.5e-05,0,0,0,0.009285,2302225927,"https://lids.mit.edu/sites/default/files/styles/thumbnail/public/people/bertsekas-lg_0.jpg?itok=kRNBwGzO"
"Susan L Goldfarb, DMD",6,1.818358,1344,7.4e-05,0,0.133333,2,0.040064,2139885129,"https://www.dental.columbia.edu/sites/default/files/styles/cola_media_400/public/cups-profile/headshot/sgoldfarb.jpg?itok=UMri98v2"
"Williams, A R",0,0,0,8e-06,1,0,0,0,NA,NA
"Arthur R. Williams",1,0.071429,1344,1.1e-05,0,0,0,0.008071,2129567001,"https://hap.gmu.edu/sites/chhs_hap/files/ha-big.jpg"
"Farrokh Alemi, PhD",4,1.233333,1344,6.4e-05,0,0,0,0.006558,2489985988,"https://content.gmu.edu/sites/common/files/profile-headshot/200-Farrokh%20Alemi.jpg"
"A. Chien",2,1,1344,5.3e-05,0,0,0,0.004897,2517198372,"http://people.cs.uchicago.edu/~aachien/lssg/people/andrew-chien/andrew-a-chien-large.jpg"
"Brian Funaki",8,1.624364,1344,9e-05,0,0.035714,1,0.037214,222354467,"https://www.radiology.uchicago.edu/sites/radiology.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/funaki-b.jpg?itok=W9qMuqSA"
"Jonathan Lorenz",4,1.68254,1344,8.4e-05,0,0,0,0.004172,2156289019,"https://www.radiology.uchicago.edu/sites/radiology.uchicago.edu/files/styles/columnwidth-wider/public/uploads/images/lorenz.jpg?itok=nihVyqQH"
"A. Ellington",15,2.781746,1344,0.000121,0,0.028571,3,0.120209,1139785224,"http://molbio.mgh.harvard.edu/molbio-static/noimage1.png"
"Christopher A. Voigt, PhD",6,0.77354,1344,3.5e-05,0,0.4,6,0.131059,2161351798,"https://be.mit.edu/sites/default/files/styles/faculty_profile__274x274_/public/Voigt_resized.jpg?itok=jHrUlEtF"
"Eduardo Sontag",15,5.993588,1344,0.000237,0,0.019048,2,0.105696,2092577353,"http://sites.math.rutgers.edu/images/arrow_red.png"
"Jack W. Szostak",33,20.252632,1344,0.00067,0,0.030303,16,0.125109,1737454282,"https://static.hwpi.harvard.edu/files/styles/profile_full/public/szostak.jpg?m=1515605516&itok=rhWOzjij"
"Joanne Chory",5,2.071429,1344,8.4e-05,0,0,0,0.018761,266456718,"http://molbio.mgh.harvard.edu/molbio-static/noimage1.png"
"Jonathan Losos",10,2.375325,1344,9.6e-05,0,0,0,0.03242,1866311172,"https://static.hwpi.harvard.edu/files/styles/profile_full/public/oeb/files/jonathan_losos_small.jpeg?m=1530126443&itok=7Gysb47z"
